SPBC106.09	cut4	K03348	anaphase-promoting complex subunit Apc1
SPBC646.04	pla1	K14376	poly(A) polymerase Pla1 
SPAC31G5.17c	rps1001	K02947	40S ribosomal protein S10
SPAC26A3.05	chc1	K04646	clathrin heavy chain Chc1 (predicted)
SPAC1687.03c	rfc4	K10755	DNA replication factor C complex subunit Rfc4 (predicted)
SPBC16H5.05c	cyp7	K12737	cyclophilin family peptidyl-prolyl cis-trans isomerase Cyp7 (predicted) 
SPAC821.11	pro1	K00147	gamma-glutamyl phosphate reductase Pro1 (predicted) 
SPBC215.14c	vps20	K12195	ESCRT III complex subunit Vps20
SPAPB8E5.06c	rpl302	K02925	60S ribosomal protein L3
SPAC890.07c	rmt1	K11434	type I protein arginine N-methyltransferase Rmt1 
SPCC5E4.03c	taf5	K03130	transcription initiation factor TFIID subunit 5
SPBC3D6.04c	mad1	K06679	mitotic spindle checkpoint protein Mad1
SPBC9B6.07	nop52	K14849	nucleolar protein Nop52 family (predicted)
SPBC9B6.06	mrpl10	K02876	mitochondrial ribosomal protein subunit L15 (predicted)
SPAC22F3.06c	lon1	K08675	Lon protease 
SPAC664.14	amt2	K03320	ammonium transporter Amt2
SPAC19G12.02c	pms1	K10858	MutL family mismatch-repair protein Pms1
SPBC23G7.12c	rpt6	K03066	19S proteasome regulatory subunit Rpt6 (predicted)
SPAC1834.04	hht1	K11253	histone H3 h3.1
SPAC1834.05	alg9	K03846	mannosyltransferase complex subunit Alg9 (predicted)
SPAC1834.01	sup45	K03265	translation release factor eRF1
SPAC1834.02	aro1	K13830	pentafunctional aromatic polypeptide Aro1 (predicted) 
SPAC3C7.08c	elf1	K03235	AAA family ATPase Elf1
SPCC1494.04c	tyr1	K00211	prephenate dehydrogenase [NADP+] Tyr1 (predicted) 
SPBC1604.07	atp4	K02127	F0-ATPase subunit (predicted) 
SPBC609.03	iqw1	K11795	WD repeat-containing protein
SPBC609.02	ptn1	K01110	phosphatidylinositol-3,4, 5-trisphosphate3-phosphatase Ptn1
SPBC609.05	pob3	K09272	FACT complex component Pob3
SPBC609.04	caf5	K08158	spermine family transmembrane transporter Caf5
SPBC21D10.07	cmc1	K18172	mitochondrial inner membrane protein involved in cytochrome oxidase biogenesis Cmc1 (predicted)
SPAC21E11.06	tif224	K03680	translation initiation factor eIF2B delta subunit (predicted)
SPBC115.01c	rrp46	K12590	exosome subunit Rrp46 (predicted)
SPBC557.04	ppk29	K08286	Ark1/Prk1 family protein kinase Ppk29
SPBC31F10.06c	sar1	K07953	ADP-ribosylation factor Sar1
SPAC23C11.16	plo1	K06660	Polo kinase Plo1 
