Dmel_CG43398	scrib	K16175	scribbled
Dmel_CG6438	amon	K01360	amontillado 
31366	Hsp70Aa	K03283	Heat-shock-protein-70Aa
Dmel_CG17090	hipk	K08826	homeodomain interacting protein kinase 
Dmel_CG7003	Msh6	K08737	CG7003 gene product from transcript CG7003-RA 
Dmel_CG2864	Parg	K07759	Poly(ADP-ribose) glycohydrolase 
Dmel_CG17256	Nek2	K08857	CG17256 gene product from transcript CG17256-RA 
7828	APP-BP1	K04532	beta-Amyloid precursor protein binding protein 1
Dmel_CG17250	Or42a	K08471	Odorant receptor 42a
Dmel_CG6383	crb	K16681	crumbs
7823	RhoGDI	K12462	CG7823 gene product from transcript CG7823-RA
Dmel_CG14296	EndoA	K11247	Endophilin A
13478	shd	K10723	shade 
Dmel_CG13969	bwa	K01441	brain washing 
Dmel_CG13417	Gr93a	K08471	Gustatory receptor 93a
Dmel_CG6355	fab1	K00921	CG6355 gene product from transcript CG6355-RA 
Dmel_CG7002	Hml	K03900	Hemolectin
Dmel_CG13410	mRpL35	K02916	mitochondrial ribosomal protein L35
Dmel_CG12363	Dlc90F	K10420	Dynein light chain 90F 
2087	PEK	K08860	pancreatic eIF-2alpha kinase 
Dmel_CG6358	Xpac	K10847	Xeroderma pigmentosum group A-like
7075	Ntl	K05038	Neurotransmitter transporter-like
Dmel_CG15102	Jheh2	K10719	Juvenile hormone epoxide hydrolase 2 
Dmel_CG40300	AGO3	K02156	Argonaute 3
Dmel_CG2863	Nle	K14855	Notchless
Dmel_CG15106	Jheh3	K10719	Juvenile hormone epoxide hydrolase 3 
Dmel_CG15104	Topors	K10631	Topoisomerase I-interacting protein 
Dmel_CG15105	tn	K12035	thin 
2713	ttm50	K17496	tiny tim 50 
17762	Tomosyn	K08518	Tomosyn ortholog
Dmel_CG10868	orb	K02602	oo18 RNA-binding protein
17767	Tim9b	K17779	Translocase of inner membrane 9b 
Dmel_CG3694	Ggamma30A	K04547	CG3694 gene product from transcript CG3694-RC
2718	Gs1	K01915	Glutamine synthetase 1 
Dmel_CG6917	Est-6	K01044	Esterase 6 
Dmel_CG3431	Uch-L5	K05610	Ubiquitin carboxy-terminal hydrolase L5 ortholog 
Dmel_CG3433	Coprox	K00228	Coproporphyrinogen oxidase 
7223	htl	K05094	heartless 
7225	wbl	K09586	windbeutel
8983	ERp60	K08056	CG8983 gene product from transcript CG8983-RA 
17161	grp	K02216	grapes 
5072	Cdk4	K02089	Cyclin-dependent kinase 4 
5073	Ccm3	K18269	Cerebral cavernous malformation 3 ortholog
10693	slo	K04936	slowpoke
Dmel_CG8421	Asph	K00476	Aspartyl beta-hydroxylase 
8989	His3.3B	K11253	Histone H3.3B
8988	S2P	K07765	site-2 protease 
10697	Ddc	K01593	Dopa decarboxylase 
1830	PhKgamma	K00871	Phosphorylase kinase gamma 
Dmel_CG32775	GlcAT-I	K10158	CG32775 gene product from transcript CG32775-RA 
1837	prtp	K13984	pretaporter 
Dmel_CG7538	Mcm2	K02540	Minichromosome maintenance 2
Dmel_CG1944	Cyp4p2	K15001	CG1944 gene product from transcript CG1944-RA 
Dmel_CG1945	faf	K11840	fat facets
Dmel_CG8817	lilli	K15194	lilliputian
Dmel_CG8816	Ak6	K18532	Adenylate kinase 6 
Dmel_CG40305	FucTC	K14464	CG40305 gene product from transcript CG40305-RB 
Dmel_CG6759	Cdc16	K03353	Cell division cycle 16 ortholog 
9564	Try29F	K01312	Trypsin 29F 
9565	Nep3	K01415	Neprilysin 3 
Dmel_CG33174	inaE	K13806	inactivation no afterpotential E 
Dmel_CG3937	cher	K04437	cheerio
Dmel_CG6751	nclb	K14791	no child left behind
Dmel_CG6756	Tom70	K17768	Translocase of outer membrane 70
Dmel_CG14614	wap	K11805	wings apart
Dmel_CG6754	nbs	K10867	CG6754 gene product from transcript CG6754-RD
12276	Aos1	K10684	CG12276 gene product from transcript CG12276-RA
Dmel_CG6622	Pkc53E	K02677	Protein C kinase 53E 
Dmel_CG13348	Aats-phe	K01889	Phenylalanyl-tRNA synthetase 
10522	sti	K16308	sticky 
10520	tub	K04733	tube
Dmel_CG7081	Pex2	K06664	Peroxin 2 
Dmel_CG13343	Uba3	K10686	Ubiquitin activating enzyme 3 
Dmel_CG7082	papi	K18406	CG7082 gene product from transcript CG7082-RA
Dmel_CG7524	Src64B	K05704	Src oncogene at 64B 
14666	Tim17a2	K17795	CG14666 gene product from transcript CG14666-RA 
Dmel_CG13345	tum	K16733	tumbleweed
1954	Pkc98E	K18050	Protein C kinase 98E 
Dmel_CG3090	Sox14	K09268	Sox box protein 14
Dmel_CG3723	Dhc93AB	K10408	Dynein heavy chain at 93AB 
Dmel_CG3724	Pgd	K00033	Phosphogluconate dehydrogenase 
1950	Uch-L5R	K05610	Uch-L5-related 
Dmel_CG17678	cta	K04346	concertina
12389	Fpps	K00787	Farnesyl pyrophosphate synthase 
3152	Trap1	K09488	CG3152 gene product from transcript CG3152-RA 
Dmel_CG4320	raptor	K07204	CG4320 gene product from transcript CG4320-RC
Dmel_CG33872	His2B:CG33872	K11252	CG33872 gene product from transcript CG33872-RA
14993	Faa	K01555	Fumarylacetoacetase 
Dmel_CG8972	rho-7	K09650	rhomboid-7 
Dmel_CG8975	RnrS	K10808	Ribonucleoside diphosphate reductase small subunit 
Dmel_CG13139	lft	K16673	lowfat
6601	Rab6	K07893	CG6601 gene product from transcript CG6601-RB
Dmel_CG8978	Arpc1	K05757	Actin-related protein 2/3 complex, subunit 1
Dmel_CG8979	PI31	K06700	CG8979 gene product from transcript CG8979-RD
Dmel_CG17077	pnt	K02678	pointed
Dmel_CG8609	MED4	K15146	Mediator complex subunit 4
33432	5SrRNA:CR33432	K01981	5S ribosomal RNA
Dmel_CG7404	ERR	K08703	estrogen-related receptor
33430	5SrRNA:CR33430	K01981	5S ribosomal RNA
11901	Ef1gamma	K03233	CG11901 gene product from transcript CG11901-RC
33436	5SrRNA:CR33436	K01981	5S ribosomal RNA
33437	5SrRNA:CR33437	K01981	5S ribosomal RNA
33434	5SrRNA:CR33434	K01981	5S ribosomal RNA
33435	5SrRNA:CR33435	K01981	5S ribosomal RNA
Dmel_CG6137	aub	K02156	aubergine
33438	5SrRNA:CR33438	K01981	5S ribosomal RNA
33439	5SrRNA:CR33439	K01981	5S ribosomal RNA
Dmel_CG6133	Nsun2	K15335	NOP2-Sun domain family, member 2 ortholog 
Dmel_CG33873	His4:CG33873	K11254	CG33873 gene product from transcript CG33873-RA
4062	Aats-val	K01873	Valyl-tRNA synthetase 
Dmel_CG33821	His3:CG33821	K11253	CG33821 gene product from transcript CG33821-RA
Dmel_CG1519	Prosalpha7	K02727	Proteasome alpha7 subunit 
Dmel_CG7883	eIF2B-alpha	K03239	CG7883 gene product from transcript CG7883-RA 
Dmel_CG33822	His1:CG33822	K11275	CG33822 gene product from transcript CG33822-RA
Dmel_CG18505	Acyp2	K01512	Acylphosphatase 2 
Dmel_CG33824	His3:CG33824	K11253	CG33824 gene product from transcript CG33824-RA
Dmel_CG7887	TkR99D	K04225	Tachykinin-like receptor at 99D
Dmel_CG33826	His2A:CG33826	K11251	CG33826 gene product from transcript CG33826-RA
Dmel_CG33829	His2A:CG33829	K11251	CG33829 gene product from transcript CG33829-RA
Dmel_CG33828	His1:CG33828	K11275	CG33828 gene product from transcript CG33828-RA
Dmel_CG3891	Nf-YA	K08064	Nuclear factor Y-box A
Dmel_CG3895	ph-d	K11456	polyhomeotic distal
14208	Tyler	K15119	CG14208 gene product from transcript CG14208-RF
Dmel_CG9952	ppa	K10280	partner of paired
Dmel_CG7399	Hn	K00500	Henna 
Dmel_CG7398	Trn	K18752	Transportin
9012	Chc	K04646	Clathrin heavy chain
31884	Trx-2	K03671	thioredoxin-2
Dmel_CG7395	sNPF-R	K04209	short neuropeptide F receptor
Dmel_CG5032	aft	K14590	adrift 
3305	Lamp1	K06528	CG3305 gene product from transcript CG3305-RA
Dmel_CG7391	Clk	K02223	Clock
9019	dsf	K07295	dissatisfaction
Dmel_CG7393	p38b	K04441	p38b MAP kinase 
Dmel_CG7392	Cka	K17608	Connector of kinase to AP-1
Dmel_CG31045	Mhcl	K10362	Myosin heavy chain-like 
Dmel_CG40293	Stlk	K08271	Ste20-like kinase 
Dmel_CG6331	Orct	K08202	Organic cation transporter
Dmel_CG8770	Gbeta76C	K07972	G protein beta-subunit 76C
Dmel_CG6444	Dpy-30L1	K14965	Dpy-30-like 1
34059	ppk16	K03440	pickpocket 16
Dmel_CG7719	gwl	K16309	greatwall 
Dmel_CG4843	Tm2	K10374	Tropomyosin 2
Dmel_CG4845	psidin	K17973	phagocyte signaling impaired
Dmel_CG32226	Pex23	K17988	Peroxin 23
Dmel_CG32220	Csas	K00983	CMP-sialic acid synthase 
Dmel_CG10988	Grip91	K16570	Gamma-tubulin ring protein 91
Dmel_CG8153	mus210	K10838	mutagen-sensitive 210
Dmel_CG4032	Abl	K06619	Abl tyrosine kinase 
Dmel_CG8156	Arf51F	K07941	ADP ribosylation factor at 51F 
3051	AMPKalpha	K07198	AMP-activated protein kinase alpha subunit 
Dmel_CG11086	Gadd45	K04402	CG11086 gene product from transcript CG11086-RA
Dmel_CG14884	CSN5	K09613	COP9 complex homolog subunit 5
Dmel_CG1167	Ras64B	K07830	Ras oncogene at 64B
Dmel_CG33910	His2B:CG33910	K11252	CG33910 gene product from transcript CG33910-RA
Dmel_CG14885	Gyc-89Da	K01769	Guanylyl cyclase at 89Da 
Dmel_CG6338	Ets97D	K09441	Ets at 97D
18341	Prosbeta2R1	K02739	Proteasome beta2 subunit-related 1 
Dmel_CG12169	Ppm1	K14803	CG12169 gene product from transcript CG12169-RA
7788	Ice	K04489	CG7788 gene product from transcript CG7788-RA 
Dmel_CG4289	Pex14	K13343	Peroxin 14
Dmel_CG12161	Prosbeta2R2	K02739	Proteasome beta2 subunit-related 2 
15437	morgue	K06689	modifier of rpr and grim, ubiquitously expressed 
4067	pug	K00288	pugilist 
Dmel_CG3949	hoip	K12845	hoi-polloi
3018	lwr	K10577	lesswright
Dmel_CG30489	Cyp12d1-p	K15004	CG30489 gene product from transcript CG30489-RB 
Dmel_CG9820	Or59a	K08471	Odorant receptor 59a
14680	Cyp12e1	K15004	CG14680 gene product from transcript CG14680-RC 
33824	His3:CG33824	K11253	CG33824 gene product from transcript CG33824-RA
7147	kuz	K06704	kuzbanian 
Dmel_CG3944	ND23	K03941	NADH:ubiquinone reductase 23kD subunit precursor 
17970	Cyp4ac2	K15001	CG17970 gene product from transcript CG17970-RB 
Dmel_CG3947	Pex16	K13335	Peroxin 16
33894	His2B:CG33894	K11252	CG33894 gene product from transcript CG33894-RA
Dmel_CG9554	eya	K15616	eyes absent 
Dmel_CG1768	dia	K16688	diaphanous
Dmel_CG9556	alien	K12176	CG9556 gene product from transcript CG9556-RD
18743	Hsp70Ab	K03283	Heat-shock-protein-70Ab
Dmel_CG6721	RasGAP1	K12380	Ras GTPase activating protein 1
1009	Psa	K08776	Puromycin sensitive aminopeptidase 
Dmel_CG10221	Hrd3	K14026	CG10221 gene product from transcript CG10221-RB
1004	rho	K02857	rhomboid 
Dmel_CG6057	SMC1	K06636	CG6057 gene product from transcript CG6057-RA
18102	shi	K01528	shibire
Dmel_CG1765	EcR	K14034	Ecdysone receptor
Dmel_CG1381	RpLP0-like	K14815	Ribosomal protein LP0-like
7921	Mgat2	K00736	CG7921 gene product from transcript CG7921-RB 
Dmel_CG7525	Tie	K08252	Tie-like receptor tyrosine kinase 
8055	shrb	K12194	shrub
Dmel_CG5006	Or33c	K08471	Odorant receptor 33c
6904	GlyS	K00693	Glycogen synthase 
Dmel_CG5000	msps	K16803	mini spindles
Dmel_CG4062	Aats-val	K01873	Valyl-tRNA synthetase 
Dmel_CG1543	Tbh	K00503	Tyramine beta hydroxylase 
5661	Sema-5c	K06841	Semaphorin-5c
Dmel_CG12298	sub	K10402	subito
Dmel_CG1546	PH4alphaSG2	K00472	prolyl-4-hydroxylase-alpha SG2 
Dmel_CG4067	pug	K00288	pugilist 
Dmel_CG31450	mRpS18A	K02963	mitochondrial ribosomal protein S18A
Dmel_CG1017	Mfap1	K13110	Microfibril-associated protein 1
40452	Snap25	K18211	Synaptosomal-associated protein 25kDa
Dmel_CG1548	cathD	K01379	CG1548 gene product from transcript CG1548-RA 
40451	Tim17b	K17795	CG40451 gene product from transcript CG40451-RA
Dmel_CG11062	Actbeta	K04667	Activin-beta
Dmel_CG34139	Nlg4	K01044	Neuroligin 4 
Dmel_CG9739	fz2	K02375	frizzled 2
Dmel_CG9738	Mkk4	K04430	MAP kinase kinase 4 
Dmel_CG1274	Jafrac2	K03386	thioredoxin peroxidase 2 
7499	Rh50	K06580	CG7499 gene product from transcript CG7499-RB
Dmel_CG9730	mRpL21	K02888	mitochondrial ribosomal protein L21
10537	Rdl	K05195	Resistant to dieldrin
Dmel_CG9735	Aats-trp	K01867	Tryptophanyl-tRNA synthetase 
Dmel_CG18734	Fur2	K01349	Furin 2 
Dmel_CG7864	Pex10	K13346	Peroxin 10 
Dmel_CG17888	Pdp1	K09057	PAR-domain protein 1
Dmel_CG8392	Prosbeta1	K02738	Proteasome beta1 subunit 
Dmel_CG42303	Snup	K13151	Snurportin
Dmel_CG8395	Rrp42	K12589	CG8395 gene product from transcript CG8395-RA 
10539	S6k	K04688	RPS6-p70-protein kinase 
Dmel_CG8210	Vha14-1	K02151	Vacuolar H[+] ATPase 14kD subunit 1 
Dmel_CG1495	CaMKI	K08794	Calcium/calmodulin-dependent protein kinase I 
Dmel_CG9878	Tim10	K17778	Translocase of inner membrane 10 
Dmel_CG17885	Or1a	K08471	Odorant receptor 1a
Dmel_CG33890	His2B:CG33890	K11252	CG33890 gene product from transcript CG33890-RA
Dmel_CG9045	Myb	K09420	Myb oncogene-like
Dmel_CG12906	Gr47a	K08471	Gustatory receptor 47a
Dmel_CG33891	His4:CG33891	K11254	CG33891 gene product from transcript CG33891-RA
3870	RabX1	K07890	CG3870 gene product from transcript CG3870-RA
Dmel_CG15807	Cyp313a5	K15007	CG15807 gene product from transcript CG15807-RA 
Dmel_CG12908	Ndg	K06826	Nidogen/entactin
3874	frc	K15281	fringe connection
Dmel_CG7850	puc	K04459	puckered 
2822	Shaw	K05320	Shaker cognate w
Dmel_CG5712	ACXD	K01768	CG5712 gene product from transcript CG5712-RB 
Dmel_CG10723	Kua	K10704	CG10723 gene product from transcript CG10723-RD
Dmel_CG17521	RpL10	K02866	Ribosomal protein L10
32076	Alg10	K03850	Alpha 3 glucosyltransferase 
Dmel_CG10726	barr	K06676	barren
Dmel_CG30030	Gr47b	K08471	Gustatory receptor 47b
33888	His2B:CG33888	K11252	CG33888 gene product from transcript CG33888-RA
Dmel_CG30035	Tret1-1	K14258	Trehalose transporter 1-1
Dmel_CG33895	His4:CG33895	K11254	CG33895 gene product from transcript CG33895-RA
Dmel_CG4665	Dhpr	K00357	Dihydropteridine reductase 
7563	CalpA	K08585	Calpain-A
Dmel_CG4663	Pex13	K13344	Peroxin 13
Dmel_CG17525	GstE4	K00799	Glutathione S transferase E4 
Dmel_CG11124	sPLA2	K01047	secretory Phospholipase A2 
Dmel_CG2692	gsb-n	K09381	gooseberry-neuro
Dmel_CG31852	Tap42	K17606	Two A-associated protein of 42kDa
Dmel_CG9357	Cht8	K01183	CG9357 gene product from transcript CG9357-RA 
Dmel_CG2845	phl	K02644	pole hole 
Dmel_CG3231	snama	K10624	something that sticks like glue 
Dmel_CG5394	Aats-glupro	K14163	Glutamyl-prolyl-tRNA synthetase 
Dmel_CG5825	His3.3A	K11253	Histone H3.3A
Dmel_CG5824	l(3)07882	K14766	lethal (3) 07882
Dmel_CG2848	Trn-SR	K15436	Transportin-Serine/Arginine rich
Dmel_CG2849	Rala	K07834	Ras-like protein A
Dmel_CG11833	Ssl2	K01757	Strictosidine synthase-like 2 
Dmel_CR31539	snRNA:U6:96Ac	K14280	small nuclear RNA U6 at 96Ac
11228	hpo	K04412	hippo 
Dmel_CG2621	sgg	K03083	shaggy 
4761	knrl	K08706	knirps-like
Dmel_CG10619	tup	K09370	tailup
Dmel_CG7995	Gk	K00864	Glycerol kinase 
6743	Nup107	K14301	Nucleoporin 107kD
Dmel_CG3497	Su(H)	K06053	Suppressor of Hairless
Dmel_CG8151	Tfb1	K03141	TFB1 ortholog (S. cerevisiae)
Dmel_CG6474	e(y)1	K03133	enhancer of yellow 1
Dmel_CG10612	Or83a	K08471	Odorant receptor 83a
Dmel_CR33444	5SrRNA:CR33444	K01981	5S ribosomal RNA
Dmel_CG4719	Tnks	K10799	tankyrase 
Dmel_CR33446	5SrRNA:CR33446	K01981	5S ribosomal RNA
Dmel_CR33447	5SrRNA:CR33447	K01981	5S ribosomal RNA
Dmel_CR33440	5SrRNA:CR33440	K01981	5S ribosomal RNA
Dmel_CR33441	5SrRNA:CR33441	K01981	5S ribosomal RNA
Dmel_CR33442	5SrRNA:CR33442	K01981	5S ribosomal RNA
Dmel_CG9983	Hrb98DE	K12741	Heterogeneous nuclear ribonucleoprotein at 98DE
Dmel_CG4711	squ	K18414	squash
Dmel_CG33879	His4:CG33879	K11254	CG33879 gene product from transcript CG33879-RA
Dmel_CG15527	RpS28a	K02979	Ribosomal protein S28a
Dmel_CR33448	5SrRNA:CR33448	K01981	5S ribosomal RNA
Dmel_CR33449	5SrRNA:CR33449	K01981	5S ribosomal RNA
Dmel_CG5629	Ppcs	K01922	Phosphopantothenoylcysteine synthetase 
Dmel_CG4717	kni	K08706	knirps
Dmel_CG16916	Rpt3	K03063	Regulatory particle triple-A ATPase 3 
Dmel_CG2939	slp2	K09385	sloppy paired 2
Dmel_CG16912	Aats-tyr-m	K01866	mitochondrial tyrosyl-tRNA synthetase 
5802	meigo	K15275	medial glomeruli
32913	snRNA:U2:14B	K14277	small nuclear RNA U2 at 14B
Dmel_CG2934	VhaAC39-1	K02146	Vacuolar H[+] ATPase AC39 subunit 1 
Dmel_CG9984	TH1	K15181	CG9984 gene product from transcript CG9984-RA
Dmel_CG11909	tobi	K01187	target of brain insulin 
Dmel_CG1775	Med	K04501	Medea
18039	GluRIID	K05313	Glutamate receptor IID
17370	SppL	K09598	Signal peptide peptidase-like 
Dmel_CG11900	Mesh1	K01139	Metazoan SpoT homolog-1 
Dmel_CG11901	Ef1gamma	K03233	CG11901 gene product from transcript CG11901-RC
Dmel_CG4084	l(2)not	K03845	lethal (2) neighbor of tid 
Dmel_CG2718	Gs1	K01915	Glutamine synthetase 1 
10335	Pbgs	K01698	Porphobilinogen synthase 
2239	jdp	K09532	CG2239 gene product from transcript CG2239-RB
2238	EF2	K03234	Elongation factor 2
33896	His2B:CG33896	K11252	CG33896 gene product from transcript CG33896-RA
Dmel_CG18250	Dg	K06265	Dystroglycan
Dmel_CG10504	Ilk	K06272	Integrin linked kinase 
7314	Bmcp	K15106	CG7314 gene product from transcript CG7314-RB
Dmel_CG10506	Aats-gln	K01886	Glutaminyl-tRNA synthetase 
17870	14-3-3zeta	K16197	CG17870 gene product from transcript CG17870-RE
Dmel_CG11055	Hsl	K07188	Hormone-sensitive lipase ortholog 
Dmel_CG7413	Rbf	K04681	Retinoblastoma-family protein
Dmel_CG10293	how	K14945	held out wings
Dmel_CG10295	Pak	K04409	PAK-kinase 
5092	Tor	K07203	Target of rapamycin 
7816	Zip99C	K14719	Zinc/iron regulated transporter-related protein 99C
Dmel_CG5099	msi	K14411	musashi
7815	Ran-like	K07936	CG7815 gene product from transcript CG7815-RA
17577	Cyp9h1	K15003	CG17577 gene product from transcript CG17577-RA 
Dmel_CG5680	bsk	K04440	basket 
7364	TM9SF4	K17086	CG7364 gene product from transcript CG7364-RB
13401	U26	K00142	CG13401 gene product from transcript CG13401-RA
Dmel_CG17246	SdhA	K00234	Succinate dehydrogenase A 
Dmel_CG17245	plexB	K06821	plexin B
Dmel_CG17241	Or94a	K08471	Odorant receptor 94a
Dmel_CG13976	Gr98a	K08471	Gustatory receptor 98a
32134	btl	K05093	breathless 
3656	Cyp4d1	K15001	Cytochrome P450-4d1 
33390	5SrRNA:CR33390	K01981	5S ribosomal RNA
33845	His3:CG33845	K11253	CG33845 gene product from transcript CG33845-RA
Dmel_CG17248	nSyb	K13504	neuronal Synaptobrevin
Dmel_CG13401	U26	K00142	CG13401 gene product from transcript CG13401-RA
Dmel_CG2155	v	K00453	vermilion 
Dmel_CG2151	Trxr-1	K00384	Thioredoxin reductase-1 
Dmel_CG2152	Pcmt	K00573	Protein-L-isoaspartate (D-aspartate) O-methyltransferase 
11660	RIOK1	K07178	RIO kinase 1 
Dmel_CG14750	Vps25	K12189	Vacuolar protein sorting 25
Dmel_CG2158	Nup50	K14295	Nucleoporin 50kD
Dmel_CG3018	lwr	K10577	lesswright
Dmel_CG9779	Vps24	K12193	Vacuolar protein sorting 24
Dmel_CG7558	Arp3	K18584	Actin-related protein 3
Dmel_CG3158	spn-E	K18408	spindle E 
11466	Cyp9f2	K15003	CG11466 gene product from transcript CG11466-RA 
33513	Nmdar2	K05210	NMDA receptor 2
Dmel_CG15110	botv	K02370	brother of tout-velu 
Dmel_CG10473	Acn	K12875	Acinus
Dmel_CG5864	AP-1sigma	K12394	Adaptor Protein complex 1, sigma subunit
Dmel_CG6884	MED11	K15131	Mediator complex subunit 11
12313	ttm2	K17496	tiny tim 2 
Dmel_CG3401	betaTub60D	K07375	beta-Tubulin at 60D
Dmel_CG6920	Blm	K10901	Bloom syndrome helicase ortholog 
Dmel_CG3151	Rbp9	K13208	RNA-binding protein 9
Dmel_CG32090	Vha16-3	K02155	Vacuolar H[+] ATPase 16kD subunit 3 
Dmel_CG3157	gammaTub23C	K10389	gamma-Tubulin at 23C
Dmel_CG33542	upd3	K16689	unpaired 3
Dmel_CG32099	eap	K06133	ebony activating protein 
Dmel_CG6386	ball	K08816	ballchen 
Dmel_CG33546	gfzf	K00799	GST-containing FLYWCH zinc-finger protein 
9374	lkb1	K07298	CG9374 gene product from transcript CG9374-RE 
Dmel_CG33544	Vkor	K05357	Vitamin-K epoxide reductase 
Dmel_CG6382	Elf	K03267	Ef1alpha-like factor
Dmel_CG43946	Glut1	K07299	Glucose transporter 1
Dmel_CG3399	capu	K02184	cappuccino
Dmel_CG11166	Eaf	K15186	ELL-associated factor
7961	alphaCOP	K05236	Coat Protein (coatomer) alpha
10682	vih	K06688	vihar 
Dmel_CG10130	Sec61beta	K09481	Sec61 beta subunit
Dmel_CG5725	fbl	K09680	fumble 
10687	Aats-asn	K01893	Asparaginyl-tRNA synthetase 
2216	Fer1HCH	K00522	Ferritin 1 heavy chain homologue
Dmel_CG8808	Pdk	K00898	Pyruvate dehydrogenase kinase 
Dmel_CG32763	l(1)G0045	K01164	lethal (1) G0045 
Dmel_CG31426	ligatin	K15027	CG31426 gene product from transcript CG31426-RA
1829	Cyp6v1	K14999	CG1829 gene product from transcript CG1829-RB 
Dmel_CG8801	Non1	K06943	Novel nucleolar protein 1
Dmel_CG8804	wun	K01080	wunen 
Dmel_CG8805	wun2	K01080	wunen-2 
Dmel_CG7528	Uba2	K10685	Smt3 activating enzyme 2
Dmel_CG1925	mus205	K02350	mutagen-sensitive 205 
6114	sff	K08796	sugar-free frosting 
Dmel_CG18616	Not10	K12607	CG18616 gene product from transcript CG18616-RA
Dmel_CG1849	run	K09280	runt
9575	Rab35	K07876	CG9575 gene product from transcript CG9575-RD
4974	dally	K02306	division abnormally delayed
Dmel_CG6725	Sulf1	K14607	Sulfated 
Dmel_CG1848	LIMK1	K05743	LIM-kinase1 
10755	Cyp4ae1	K15001	Cytochrome P450-4ae1 
Dmel_CG32169	Rbp6	K14411	RNA-binding protein 6
Dmel_CG6720	UbcD2	K06689	Ubiquitin conjugating enzyme 2 
33375	5SrRNA:CR33375	K01981	5S ribosomal RNA
1274	Jafrac2	K03386	thioredoxin peroxidase 2 
Dmel_CG6653	Ugt86De	K00699	CG6653 gene product from transcript CG6653-RA 
Dmel_CG13350	Ctf4	K11274	CG13350 gene product from transcript CG13350-RA
Dmel_CG7098	dik	K11315	diskette 
Dmel_CG11063	jub	K16682	Ajuba LIM protein
Dmel_CG7097	hppy	K08833	happyhour 
11801	Elo68beta	K10249	Elongase 68beta
2666	kkv	K00698	krotzkopf verkehrt 
Dmel_CG7092	Dhc16F	K10408	Dynein heavy chain at 16F 
Dmel_CG15804	Dhc62B	K10408	Dynein heavy chain at 62B 
Dmel_CG7895	tin	K09352	tinman
42991	mir-210	K17178	mir-210 stem loop
Dmel_CG2286	ND75	K03934	NADH:ubiquinone reductase 75kD subunit precursor 
Dmel_CG31322	Aats-met	K01874	Methionyl-tRNA synthetase 
Dmel_CG3712	mRpL33	K02913	mitochondrial ribosomal protein L33
Dmel_CG7892	nmo	K04468	nemo 
Dmel_CG33237	Ste:CG33237	K03115	CG33237 gene product from transcript CG33237-RB
Dmel_CG17665	IntS3	K13140	Integrator 3
Dmel_CG1467	Syx16	K08489	Syntaxin 16
3279	Vti1	K08493	VTI1 ortholog (S. cerevisiae)
14690	tomboy20	K17770	CG14690 gene product from transcript CG14690-RA
33863	His3:CG33863	K11253	CG33863 gene product from transcript CG33863-RA
Dmel_CG8946	Sply	K01634	Sphingosine-1-phosphate lyase 
Dmel_CG32433	Gr77a	K08471	Gustatory receptor 77a
33399	5SrRNA:CR33399	K01981	5S ribosomal RNA
33398	5SrRNA:CR33398	K01981	5S ribosomal RNA
33397	5SrRNA:CR33397	K01981	5S ribosomal RNA
33396	5SrRNA:CR33396	K01981	5S ribosomal RNA
33395	5SrRNA:CR33395	K01981	5S ribosomal RNA
33394	5SrRNA:CR33394	K01981	5S ribosomal RNA
33393	5SrRNA:CR33393	K01981	5S ribosomal RNA
33392	5SrRNA:CR33392	K01981	5S ribosomal RNA
33391	5SrRNA:CR33391	K01981	5S ribosomal RNA
Dmel_CG17060	Rab10	K07903	CG17060 gene product from transcript CG17060-RA
33902	His2B:CG33902	K11252	CG33902 gene product from transcript CG33902-RA
Dmel_CG1845	Br140	K11348	CG1845 gene product from transcript CG1845-RB
32744	Ubi-p5E	K08770	Ubiquitin-5E
Dmel_CG3395	RpS9	K02997	Ribosomal protein S9
Dmel_CG1842	Dhc98D	K10408	Dynein heavy chain at 89D 
33409	5SrRNA:CR33409	K01981	5S ribosomal RNA
33408	5SrRNA:CR33408	K01981	5S ribosomal RNA
33407	5SrRNA:CR33407	K01981	5S ribosomal RNA
33406	5SrRNA:CR33406	K01981	5S ribosomal RNA
