AT3G50670	U1-70K	K11093	U1 small nuclear ribonucleoprotein-70K
AT4G39090	RD19	K01373	cysteine proteinase RD19a
AT1G20020	FNR2	K02641	ferredoxin--NADP reductase, leaf isozyme 2
AT4G35260	IDH1	K00030	Isocitrate dehydrogenase [NAD] regulatory subunit 1
AT5G15530	BCCP2	K02160	biotin carboxyl carrier protein 2
AT3G16110	PDIL1-6	K09580	protein PDI-like 1-6
AT2G46370	JAR1	K14506	jasmonic acid-amido synthetase JAR1
AT4G13770	CYP83A1	K12156	cytochrome P450 83A1
AT5G11380	DXPS3	K01662	1-deoxy-D-xylulose 5-phosphate synthase 3
AT4G04695	CPK31	K13412	calcium-dependent protein kinase 31
AT3G12160	RABA4D	K07904	RAB GTPase-like protein A4D
AT1G78340	GSTU22	K00799	glutathione S-transferase TAU 22
AT1G72450	JAZ6	K13464	jasmonate-zim-domain protein 6
AT1G65590	HEXO3	K12373	beta-hexosaminidase 3
AT2G17640	ATSERAT3;1	K00640	serine acetyltransferase 106
AT1G15310	ATHSRP54A	K03106	signal recognition particle protein SRP54A
AT2G22910	NAGS1	K14682	N-acetyl-l-glutamate synthase 1
AT3G24010	ING1	K11346	PHD finger protein ING1
AT4G30560	CNGC9	K05391	cyclic nucleotide gated channel 9
AT1G73100	SUVH3	K11420	histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH3
AT5G18100	CSD3	K04565	copper/zinc superoxide dismutase 3
AT3G17600	IAA31	K14484	auxin-responsive protein IAA31
AT5G04510	PDK1	K06276	3'-phosphoinositide-dependent protein kinase 1
AT5G67520	APK4	K00860	adenosine-5'-phosphosulfate kinase 4
AT5G19450	CDPK19	K13412	calcium-dependent protein kinase 19
AT3G19420	PEN2	K01110	phosphatase PTEN2
AT3G44720	ADT4	K05359	arogenate dehydratase 4
AT2G44810	DAD1	K16818	phospholipase A(1) DAD1
AT1G01290	CNX3	K03639	cyclic pyranopterin monophosphate synthase accessory protein
AT5G22770	alpha-ADR	K11824	alpha-adaptin
AT4G26510	UKL4	K00876	uridine kinase-like 4
AT4G23400	PIP1;5	K09872	putative aquaporin PIP1-5
AT5G08335	ATSTE14B	K00587	S-isoprenylcysteine O-methyltransferase B
AT2G35340	MEE29	K12813	protein MATERNAL EFFECT EMBRYO ARREST 29
AT2G24120	SCA3	K10908	DNA-directed RNA polymerase 3
AT1G66380	MYB114	K09422	transcription factor MYB114
AT4G39890	RABH1c	K07976	Ras-related protein RABH1c
ArthCp022	psaA	K02689	PSI P700 apoprotein A1
AT1G24180	IAR4	K00161	pyruvate dehydrogenase E1 component subunit alpha-2
AT1G08620	PKDM7D	K11446	transcription factor PKDM7D
AT3G02570	MEE31	K01809	mannose-6-phosphate isomerase
AT2G29420	GSTU7	K00799	glutathione S-transferase tau 7
AT5G14750	MYB66	K09422	transcription factor WER
AT3G12380	ARP5	K11672	actin-related protein 5
ArthCp020	rps14	K02954	30S ribosomal protein S14
AT4G25960	PGP2	K05658	P-glycoprotein 2
AT3G48150	APC8	K03355	anaphase-promoting complex subunit 8
AT2G22990	SNG1	K09757	sinapoylglucose:malate sinapoyltransferase
AT1G74260	PUR4	K01952	phosphoribosylformylglycinamidine synthase
AT1G05890	ARI5	K11968	putative E3 ubiquitin-protein ligase ARI5
AT3G53570	FC1	K08287	serine/threonine-protein kinase AFC1
AT5G45680	FKBP13	K01802	peptidyl-prolyl cis-trans isomerase FKBP13
AT1G24100	UGT74B1	K11820	UDP-glucosyl transferase 74B1
AT4G01420	CBL5	K06268	calcineurin B-like protein 5
AT3G16480	MPPalpha	K01412	mitochondrial processing peptidase alpha subunit
AT1G06130	GLX2-4	K01069	glyoxalase 2-4
AT4G33450	MYB69	K09422	myb domain protein 69
AT5G56950	NAP1;3	K11279	nucleosome assembly protein 1;3
AT1G48050	KU80	K10885	ATP-dependent DNA helicase 2 subunit KU80
AT5G14570	NRT2.7	K02575	high affinity nitrate transporter 2.7
AT4G15130	CCT2	K00968	phosphorylcholine cytidylyltransferase2
AT2G18020	EMB2296	K02938	60S ribosomal protein L8-1
AT4G32180	PANK2	K09680	pantothenate kinase 2
AT5G18070	DRT101	K01836	phosphoacetylglucosamine mutase
AT3G18520	HDA15	K11407	histone deacetylase 15
AT4G39540	SK2	K00891	shikimate kinase 2
AT5G11520	ASP3	K14454	aspartate aminotransferase 3
AT3G63110	IPT3	K10760	adenylate isopentenyltransferase 3
AT5G23190	CYP86B1	K15402	cytochrome P450 86B1
AT3G62750	BGLU8	K01188	beta glucosidase 8
AT5G57440	GS1	K17623	haloacid dehalogenase-like hydrolase family protein
AT5G64570	XYL4	K15920	beta-D-xylosidase 4
AT1G66590	COX19-1	K18183	cytochrome c oxidase 19-1
AT5G08530	CI51	K03942	NADH dehydrogenase [ubiquinone] flavoprotein 1
AT4G24210	SLY1	K14495	F-box protein GID2
ArthCp028	atpE	K02114	ATP synthase epsilon chain
AT3G55320	PGP20	K05658	ABC transporter B family member 20
AT2G29630	THIC	K03147	phosphomethylpyrimidine synthase
AT1G56450	PBG1	K02736	20S proteasome beta subunit G1
AT1G11680	CYP51G1	K05917	sterol 14-demethylase
AT5G63880	VPS20.1	K12195	vacuolar protein sorting-associated protein 20-1
AT3G26680	SNM1	K15340	DNA cross-link repair protein SNM1
AT4G20990	ACA4	K01674	alpha carbonic anhydrase 4
AT1G43170	RP1	K02925	60S ribosomal protein L3-1
AT3G11910	UBP13	K11838	ubiquitin carboxyl-terminal hydrolase 13
AT5G46280	MCM3	K02541	DNA replication licensing factor MCM3-like protein
AT5G40950	RPL27	K02899	50S ribosomal protein L27
AT3G49600	UBP26	K11858	ubiquitin-specific protease 26
AT3G22110	PAC1	K02728	20S proteasome alpha-3 subunit
AT3G16100	RABG3c	K07897	RAB GTPase-like protein G3C
AT1G25340	MYB116	K09422	putative transcription factor (MYB116)
AT3G16240	DELTA-TIP	K09873	aquaporin TIP2-1
AT3G48730	GSA2	K01845	glutamate-1-semialdehyde 2,1-aminomutase 2
AT1G33520	MOS2	K13101	protein MOS2
AT5G66380	FOLT1	K15115	folate transporter 1
AT5G67380	CKA1	K03097	casein kinase II subunit alpha-1
AT5G63600	FLS5	K05278	flavonol synthase 5
AT4G17510	UCH3	K05609	ubiquitin C-terminal hydrolase 3
AT5G50870	UBC27	K04649	ubiquitin-conjugating enzyme E2 27
AT1G17050	SPS2	K05356	solanesyl diphosphate synthase 2
AT3G11730	ATFP8	K07874	Ras-related protein RABD1
AT5G17490	RGL3	K14494	DELLA protein RGL3
AT2G23000	scpl10	K16296	sinapoylglucose:anthocyanin sinapoyltransferase
AT1G03530	NAF1	K14763	nuclear assembly factor 1
AT3G22370	AOX1A	K17893	alternative oxidase 1A
AT3G12250	TGA6	K14431	transcription factor TGA6
AT1G02000	GAE2	K08679	UDP-D-glucuronate 4-epimerase 2
AT1G26670	VTI1B	K08493	vesicle transport v-SNARE 12
AT2G43400	ETFQO	K00311	electron-transfer flavoprotein--ubiquinone oxidoreductase
AT5G57530	XTH12	K08235	probable xyloglucan endotransglucosylase/hydrolase protein 12
AT2G30870	GSTF10	K00799	glutathione S-transferase PHI 10
AT4G22753	SMO1-3	K14423	sterol 4-alpha methyl oxidase 1-3
AT5G60550	GRIK2	K07359	geminivirus rep interacting kinase 2
AT4G19600	CYCT1;4	K15188	cyclin-T1-4
AT3G48930	EMB1080	K02949	40S ribosomal protein S11-1
AT3G59050	PAO3	K17839	polyamine oxidase 3
AT3G04460	PEX12	K13345	Peroxisome biogenesis protein 12
AT3G55030	PGPS2	K00995	phosphatidylglycerolphosphate synthase 2
AT5G27720	emb1644	K12623	U6 snRNA-associated Sm-like protein LSm4
AT1G22740	RABG3B	K07897	GTP-binding protein Rab7
AT2G41310	RR3	K14492	response regulator 3
AT5G44110	POP1	K12608	ABC transporter I family member 21
AT2G44490	PEN2	K01188	beta-glucosidase 26
AT2G42810	PP5.2	K04460	serine/threonine-protein phosphatase 5
AT5G49890	CLC-C	K05016	chloride channel protein CLC-c
AT2G40790	CXXS2	K03671	thioredoxin-like protein CXXS2
AT5G63770	DGK2	K00901	diacylglycerol kinase 2
AT3G23790	AAE16	K01897	acyl activating enzyme 16
AT3G09230	MYB1	K09422	myb domain protein 1
AT2G25840	OVA4	K01867	protein ovule abortion 4
AT3G24350	SYP32	K08490	syntaxin-32
AT2G01910	ATMAP65-6	K16732	microtubule-associated protein 65-6
AT2G28850	CYP710A3	K09832	cytochrome P450 710A3
AT5G25760	PEX4	K10689	protein peroxin4
AT3G51860	CAX3	K07300	vacuolar cation/proton exchanger 3
AT1G03445	BSU1	K14501	serine/threonine-protein phosphatase BSU1
AT5G63910	FCLY	K05906	farnesylcysteine lyase
AT4G17460	HAT1	K09338	homeobox-leucine zipper protein HAT1
AT1G01560	MPK11	K04371	mitogen-activated protein kinase 11
AT2G44470	BGLU29	K01188	beta glucosidase 29
AT4G16110	RR2	K14491	transcription factor response regulator 2
AT4G00490	BAM2	K01177	beta-amylase 2
AT3G23150	ETR2	K14509	ethylene receptor 2
AT5G46860	VAM3	K08488	syntaxin-22
AT1G54210	ATG12A	K08336	ubiquitin-like protein ATG12A
AT5G09810	ACT7	K10355	actin 7
AT1G02130	RA-5	K07874	Ras-related protein RABD2A
AT4G27180	ATK2	K10405	kinesin 2
AT5G24160	SQE6	K00511	Squalene monooxygenase 6
AT1G73290	scpl5	K16296	serine carboxypeptidase-like 5
AT1G01620	PIP1C	K09872	aquaporin PIP1-3
AT5G63590	FLS3	K05278	flavonol synthase 3
AT1G67220	HAC2	K04498	histone acetyltransferase HAC2
AT5G63595	FLS4	K05278	flavonol synthase 4
AT5G37780	CAM1	K02183	calmodulin 1
AT1G78900	VHA-A	K02145	V-type proton ATPase catalytic subunit A
AT1G35670	CDPK2	K13412	calcium-dependent protein kinase 2
AT3G10740	ASD1	K01209	bifunctional alpha-l-arabinofuranosidase/beta-d-xylosidase
AT4G38630	RPN10	K03029	26S proteasome non-ATPase regulatory subunit 4
AT1G55180	PLDEPSILON	K01115	phospholipase D epsilon
AT1G04240	SHY2	K14484	auxin-responsive protein IAA3
AT1G69640	SBH1	K04713	sphingoid base hydroxylase 1
AT5G20620	UBQ4	K08770	ubiquitin 4
AT4G29430	rps15ae	K02957	40S ribosomal protein S15a-5
AT3G27440	UKL5	K00876	uridine kinase-like 5
AT1G04710	PKT4	K07513	3-ketoacyl-CoA thiolase 1
AT1G49540	ELP2	K11374	elongator protein 2
AT4G17640	CKB2	K03115	casein kinase II beta chain 2
AT4G02780	GA1	K04120	Ent-copalyl diphosphate synthase
AT3G47600	MYB94	K09422	putative transcription factor MYB94
AT3G62980	TIR1	K14485	protein TRANSPORT INHIBITOR RESPONSE 1
AT1G09815	POLD4	K03505	DNA polymerase delta subunit 4
AT2G21880	RAB7A	K07976	RAB GTPase-like protein 7A
AT3G20050	TCP-1	K09493	T-complex protein 1 subunit alpha
AT1G51190	PLT2	K09285	AP2-like ethylene-responsive transcription factor PLT2
AT4G37260	MYB73	K09422	myb domain protein 73
AT2G32230	PRORP1	K18213	proteinaceous RNase P 1
AT1G71770	PAB5	K13126	polyadenylate-binding protein 5
AT2G42500	PP2A-3	K04382	serine/threonine-protein phosphatase PP2A-3 catalytic subunit
AT2G31900	XIF	K10357	myosin-like protein XIF
AT2G19570	CDA1	K01489	cytidine deaminase 1
AT1G54100	ALDH7B4	K14085	aldehyde dehydrogenase 7B4
AT5G14800	P5CR	K00286	Pyrroline-5-carboxylate reductase
AT5G01400	ESP4	K06100	Symplekin/Pta1-like protein
AT1G31800	CYP97A3	K15747	protein LUTEIN DEFICIENT 5
AT4G29720	PAO5	K12259	polyamine oxidase 5
AT3G04080	APY1	K14641	apyrase 1
AT5G06100	MYB33	K09422	myb domain protein 33
AT5G55020	MYB120	K09422	myb domain protein 120
AT5G61600	ERF104	K09286	ethylene-responsive transcription factor ERF104
AT4G22570	APT3	K00759	adenine phosphoribosyl transferase 3
AT5G56130	TEX1	K12880	THO complex subunit 3
AT1G31020	TO2	K03671	thioredoxin O2
AT3G04610	FLK	K13162	RNA-binding KH domain-containing protein
AT3G49120	PRXCB	K00430	peroxidase 34
AT5G48600	SMC3	K06675	structural maintenance of chromosomes protein 4
AT4G04930	DES-1-LIKE	K04712	sphingolipid delta-4 desaturase
AT4G24560	UBP16	K11855	ubiquitin carboxyl-terminal hydrolase 16
AT1G16540	ABA3	K15631	molybdenum cofactor sulfurase
AT4G03560	TPC1	K16900	two pore calcium channel protein 1
AT1G16010	MGT2	K16075	magnesium transporter MRS2-1
AT1G34210	SERK2	K13418	somatic embryogenesis receptor kinase 2
AT3G47930	GLDH	K00225	L-galactono-1,4-lactone dehydrogenase
AT1G68990	MGP3	K10908	DNA-directed RNA polymerase 1, mitochondrial
AT5G44635	MCM6	K02542	minichromosome maintenance protein 6
AT4G22970	ESP	K02365	separase-like protein
AT3G01090	KIN10	K07198	SNF1-related protein kinase catalytic subunit alpha KIN10
AT2G16780	MSI2	K10752	WD-40 repeat-containing protein MSI2
AT5G55590	QRT1	K01051	pectinesterase QRT1
AT1G23290	RPL27AB	K02900	60S ribosomal protein L27a-2
AT1G67710	ARR11	K14491	two-component response regulator ARR11
ArthCt117	trnS	K14233	tRNA-Ser
AT4G21900	PRORP3	K18213	proteinaceous RNase P 3
ArthCt115	trnR	K14219	tRNA-Arg
AT3G10390	FLD	K11450	lysine-specific histone demethylase 1 homolog 3
ArthCt113	trnI	K14230	tRNA-Ile
AT2G25630	BGLU14	K01188	beta glucosidase 14
AT3G46460	UBC13	K10575	ubiquitin-conjugating enzyme E2 13
ArthCt110	trnN	K14220	tRNA-Asn
AT1G16490	MYB58	K09422	myb domain protein 58
AT1G09570	PHYA	K12120	phytochrome A
AT1G54360	TAF6B	K03131	TBP-associated factor 6B
ArthCt118	trnL	K14228	tRNA-Leu
AT1G31970	STRS1	K14811	stress response suppressor 1
AT4G21470	FMN/FHY	K00861	bifunctional riboflavin kinase/FMN hydrolase
AT4G26270	PFK3	K00850	6-phosphofructokinase 3
AT3G60840	MAP65-4	K16732	microtubule-associated protein 65-4
AT1G51510	Y14	K12876	exon junction complex protein Y14
AT3G21830	SK8	K03094	SKP1-like protein 8
AT1G07290	GONST2	K15356	GDP-mannose transporter
AT5G62540	UBC3	K10573	ubiquitin-conjugating enzyme E2 3
AT5G58270	ATM3	K05663	ABC transporter of the mitochondrion 3
AT3G56070	ROC2	K01802	rotamase cyclophilin 2
AT1G30510	RFNR2	K02641	ferredoxin--NADP reductase, root isozyme 2
AT4G04910	NSF	K06027	N-ethylmaleimide sensitive factor
AT3G10370	SDP6	K00111	glycerol-3-phosphate dehydrogenase SDP6
AT2G31300	ARPC1B	K05757	actin-related protein 2/3 complex subunit 1B
AT4G05420	DDB1A	K10610	DNA damage-binding protein 1a
AT5G54570	BGLU41	K01188	beta glucosidase 41
AT1G50640	ERF3	K09286	ethylene-responsive transcription factor 3
AT1G16300	GAPCP-2	K00134	glyceraldehyde 3-phosphate dehydrogenase
AT5G42970	COP8	K12178	COP9 signalosome complex subunit 4
AT4G31770	DBR1	K18328	RNA Lariat debranching enzyme
AT1G21720	PBC1	K02735	proteasome beta subunit C1
AT1G65480	FT	K16223	protein FLOWERING LOCUS T
AT1G11400	PYM	K14294	partner of Y14-mago
AT2G39990	EIF2	K03249	translation initiation factor 3 subunit F
AT4G09550	GIP1	K18633	gamma-tubulin complex protein GIP1a
AT1G18450	ARP4	K11340	actin-related protein 4
AT5G47810	PFK2	K00850	6-phosphofructokinase 2
ArthCp052	psbH	K02709	photosystem II reaction center protein H
ArthCp053	petB	K02635	cytochrome b6
ArthCp050	psbT	K02718	photosystem II protein T
ArthCp056	rps11	K02948	30S ribosomal protein S11
ArthCp057	rpl36	K02919	50S ribosomal protein L36
ArthCp054	petD	K02637	cytochrome b6/f complex subunit 4
ArthCp055	rpoA	K03040	RNA polymerase alpha chain
AT5G26660	MYB86	K09422	transcription factor MYB86
ArthCp058	rps8	K02994	30S ribosomal protein S8
ArthCp059	rpl14	K02874	50S ribosomal protein L14
AT5G13000	GSL12	K11000	callose synthase 3
AT5G13550	SULTR4;1	K18059	sulfate transporter 4.1
AT5G26667	PYR6	K13800	UMP-CMP kinase
AT4G25970	PSD3	K01613	phosphatidylserine decarboxylase 3
AT2G43570	CHI	K01183	putative chitinase
AT4G13610	MEE57	K00558	DNA (cytosine-5-)-methyltransferase family protein
AT1G64280	NPR1	K14508	Regulatory protein NPR1
AT2G36910	ABCB1	K05658	ABC transporter B family member 1
AT5G62430	CDF1	K16222	cycling DOF factor 1
AT2G47510	FUM1	K01679	fumarate hydratase 1
AT1G71990	FUT13	K14412	alpha-(1,4)-fucosyltransferase
AT1G07745	RAD51D	K10871	DNA repair protein RAD51 homolog 4
AT1G10680	PGP10	K05658	ABC transporter B family member 10
AT5G53350	CLPX	K03544	CLP protease regulatory subunit X
AT3G06650	ACLB-1	K01648	ATP-citrate lyase B-1
AT2G43790	MPK6	K14512	MAP kinase 6
AT3G06300	AT-P4H-2	K00472	prolyl-4 hydroxylase 2
AT4G04350	EMB2369	K01869	tRNA synthetase class I (I, L, M and V) family protein
AT5G19530	ACL5	K18787	Thermospermine synthase ACAULIS5
AT5G14660	PDF1B	K01462	peptide deformylase 1B
AT3G54660	GR	K00383	glutathione reductase
AT4G02060	PRL	K02210	protein PROLIFERA
AT1G11530	CXXS1	K03671	monocysteinic thioredoxin CXXS1
AT5G21482	CKX7	K00279	cytokinin dehydrogenase 7
AT4G13980	AT-HSFA5	K09419	heat stress transcription factor A-5
AT2G26990	FUS12	K12176	protein CONSTITUTIVE PHOTOMORPHOGENIC 12
AT2G20860	LIP1	K03644	lipoic acid synthase 1
AT4G24740	FC2	K08287	LAMMER-type protein kinase AFC2
AT2G45790	PMM	K17497	phosphomannomutase
AT3G20540	POLGAMMA1	K02335	polymerase gamma 1
AT1G34430	EMB3003	K00627	protein embryo defective 3003
AT1G53000	KDSB	K00979	3-deoxy-manno-octulosonate cytidylyltransferase
AT1G11080	scpl31	K16297	serine carboxypeptidase-like 31
AT3G52880	MDAR1	K08232	monodehydroascorbate reductase 1
AT2G32765	SUMO5	K12160	small ubiquitin-related modifier 5
AT5G13170	SAG29	K15382	senescence-associated protein 29
AT1G50480	THFS	K01938	Formate--tetrahydrofolate ligase
AT5G22010	RFC1	K10754	replication factor C1
AT5G58070	TIL	K03098	temperature-induced lipocalin TIL1
AT3G23890	TOPII	K03164	DNA topoisomerase 2
AT4G34210	SK11	K03094	SKP1-like protein 11
AT3G10570	CYP77A6	K15399	cytochrome P450, family 77, subfamily A, polypeptide 6
AT5G54080	HGO	K00451	homogentisate 1,2-dioxygenase
AT4G27040	VPS22	K12188	vacuolar protein sorting-associated protein 22
AT3G57530	CPK32	K13412	calcium-dependent protein kinase 32
AT1G59830	PP2A-1	K04382	serine/threonine-protein phosphatase PP2A-1 catalytic subunit
AT3G12530	PSF2	K10733	DNA replication complex GINS protein PSF2
AT1G74030	ENO1	K01689	enolase 1
AT2G26460	SMU2	K13109	RNA splicing protein SMU2
AT5G62160	ZIP12	K14709	putative zinc transporter 12
AT1G36340	UBC31	K06689	ubiquitin-conjugating enzyme 31
AT2G35020	GlcNA.1UT2	K00972	putative UDP-N-acetylglucosamine pyrophosphorylase
AT1G78580	TPS1	K16055	alpha,alpha-trehalose-phosphate synthase [UDP-forming] 1
AT5G03570	IREG2	K14685	nickel transport protein FPN2
AT4G39950	CYP79B2	K11812	tryptophan N-monooxygenase 1
AT2G28210	ACA2	K01674	alpha carbonic anhydrase 2
AT5G42800	DFR	K13082	dihydroflavonol-4-reductase
AT3G51920	CAM9	K13448	calmodulin-like protein 9
AT1G30220	INT2	K08150	putative inositol transporter 2
AT4G28700	AMT1;4	K03320	ammonium transporter 1;4
AT3G09840	CDC48	K13525	cell division control protein 48-A
AT1G19440	KCS4	K15397	3-ketoacyl-CoA synthase 4
AT2G20260	PSAE-2	K02693	photosystem I subunit E-2
AT2G22330	CYP79B3	K11813	tryptophan N-monooxygenase 2
AT1G01960	EDA10	K18442	brefeldin A-inhibited guanine nucleotide-exchange protein 3
AT3G56090	FER3	K00522	ferritin 3
AT2G06925	PLA2-ALPHA	K01047	phospholipase A2-alpha
AT3G28470	TDF1	K09422	protein DEFECTIVE IN MERISTEM DEVELOPMENT AND FUNCTION 1
AT4G15900	PRL1	K12862	protein pleiotropic regulatory locus 1
AT5G12200	PYD2	K01464	pyrimidine 2
AT1G74100	SOT16	K11821	desulfo-glucosinolate sulfotransferase 16
AT5G37640	UBQ9	K08770	polyubiquitin 9
AT1G20050	HYD1	K01824	probable 3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase
AT2G33560	BUBR1	K02178	BUB1-related protein BUBR1
AT3G18610	NUC-L2	K11294	protein NUCLEOLIN LIKE 2
AT1G75450	CKX5	K00279	cytokinin dehydrogenase 5
AT5G01220	SQD2	K06119	sulfoquinovosyldiacylglycerol 2
AT5G44240	ALA2	K01530	aminophospholipid ATPase 2
AT5G56630	PFK7	K00850	6-phosphofructokinase 7
AT2G32900	ATZW10	K11578	centromere/kinetochore protein ZW10-like protein
AT4G15340	PEN1	K15823	pentacyclic triterpene synthase 1
AT5G57940	CNGC5	K05391	cyclic nucleotide gated channel 5
AT4G35090	CAT2	K03781	catalase 2
AT3G62610	MYB11	K09422	myb domain protein 11
AT5G37820	NIP4;2	K09874	putative aquaporin NIP4-2
AT2G18230	PPa2	K01507	soluble inorganic pyrophosphatase 2
AT3G48580	XTH11	K08235	probable xyloglucan endotransglucosylase/hydrolase 11
AT1G01360	RCAR1	K14496	regulatory component of ABA receptor 1
AT1G18640	PSP	K01079	phosphoserine phosphatase
AT4G26900	AT-HF	K01663	glutamine amidotransferase and cyclase
AT5G22740	CSLA02	K13680	glucomannan 4-beta-mannosyltransferase 2
AT1G08380	PSAO	K14332	photosystem I subunit O
AT2G39480	PGP6	K05658	ABC transporter B family member 6
AT1G73590	PIN1	K13947	auxin efflux carrier component 1
AT3G49110	PRXCA	K00430	peroxidase 33
AT2G28100	FUC1	K01206	alpha-L-fucosidase 1
AT2G29990	NDA2	K17871	alternative NAD(P)H dehydrogenase 2
AT4G19020	CMT2	K00558	chromomethylase 2
AT3G20860	NEK5	K08857	NIMA-related kinase 5
AT2G06850	XTH4	K08235	endoxyloglucan transferase A1
AT2G32830	PHT1;5	K08176	putative inorganic phosphate transporter 1-5
AT2G29450	GSTU5	K00799	glutathione S-transferase tau 5
AT3G16810	PUM24	K14844	protein pumilio 24
AT2G29980	FAD3	K10257	omega-3 fatty acid desaturase
AT1G65290	mtACP2	K03955	acyl carrier protein 2
AT2G22980	SCPL13	K16296	serine carboxypeptidase-like 13
AT3G48750	CDC2	K02206	cyclin-dependent kinase A-1
AT2G16740	UBC29	K06689	ubiquitin-conjugating enzyme E2 29
AT5G05980	DFB	K01930	folylpolyglutamate synthase 1
AT3G45100	SETH2	K03857	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase subunit PIG-A-like protein SETH
AT5G62920	ARR6	K14492	two-component response regulator ARR6
AT4G00690	ULP1B	K08592	UB-like protease 1B
AT4G14590	emb2739	K13140	protein EMBRYO DEFECTIVE 2739
AT1G42540	GLR3.3	K05387	glutamate receptor 3.3
AT1G04400	CRY2	K12119	cryptochrome 2
AT3G13784	CWINV5	K01193	beta-fructofuranosidase, insoluble isoenzyme CWINV5
AT1G52340	ABA2	K09841	Xanthoxin dehydrogenase
AT3G25780	AOC3	K10525	allene oxide cyclase 3
AT3G17700	CNBT1	K05391	cyclic nucleotide-binding transporter 1
AT3G62760	ATGSTF13	K00799	glutathione S-transferase F13
AT5G20730	NPH4	K14486	auxin-regulated transcriptional activator NPH4
AT5G54960	PDC2	K01568	pyruvate decarboxylase-2
AT1G66050	VIM2	K10638	E3 ubiquitin-protein ligase ORTHRUS 5
AT2G15790	SQN	K05864	peptidyl-prolyl cis-trans isomerase CYP40
AT3G55330	PPL1	K02717	PsbP-like protein 1
AT3G62290	ARFA1E	K07937	ADP-ribosylation factor A1E
AT1G43160	RAP2.6	K09286	ethylene-responsive transcription factor RAP2-6
AT1G32440	PKp3	K00873	plastidial pyruvate kinase 3
AT2G45240	MAP1A	K01265	methionine aminopeptidase 1A
AT1G08090	NRT2:1	K02575	nitrate transporter 2:1
AT1G21980	PIP5K1	K00889	phosphatidylinositol-4-phosphate 5-kinase 1
AT2G39550	PGGT-I	K11713	geranylgeranyl transferase type-1 subunit beta
AT4G25590	ADF7	K05765	actin depolymerizing factor 7
AT4G11600	GPX6	K00432	glutathione peroxidase 6
AT5G63610	CDKE;1	K02208	cyclin-dependent kinase E-1
AT5G25370	PLDALPHA3	K01115	phospholipase D alpha 3
